iter	Passed	Remaining
0	140	140743
1	143	71749
2	145	48328
3	146	36515
4	149	29673
5	150	24943
6	153	21769
7	157	19473
8	159	17557
9	161	15984
10	163	14675
11	164	13566
12	166	12669
13	168	11900
14	171	11249
15	173	10668
16	175	10132
17	177	9684
18	179	9262
19	181	8870
20	183	8568
21	186	8270
22	187	7955
23	189	7698
24	191	7456
25	192	7228
26	194	7019
27	197	6848
28	199	6671
29	201	6502
30	203	6347
31	204	6192
32	206	6063
33	209	5938
34	211	5833
35	213	5724
36	215	5617
37	217	5500
38	219	5397
39	220	5301
40	222	5202
41	224	5121
42	226	5039
43	228	4967
44	230	4894
45	232	4820
46	234	4749
47	237	4702
48	239	4641
49	240	4578
50	243	4529
51	245	4476
52	247	4425
53	249	4376
54	252	4335
55	255	4300
56	257	4264
57	260	4233
58	262	4194
59	264	4151
60	267	4115
61	269	4075
62	271	4043
63	274	4020
64	277	3987
65	279	3958
66	282	3928
67	284	3903
68	287	3876
69	290	3856
70	292	3832
71	295	3802
72	297	3777
73	300	3754
74	302	3731
75	304	3707
76	307	3681
77	310	3671
78	313	3655
79	316	3637
80	318	3616
81	321	3598
82	323	3571
83	325	3551
84	327	3528
85	330	3509
86	332	3488
87	334	3467
88	337	3452
89	339	3429
90	342	3416
91	344	3402
92	347	3384
93	349	3371
94	351	3352
95	354	3334
96	356	3318
97	360	3316
98	362	3299
99	365	3286
100	367	3270
101	369	3250
102	371	3238
103	374	3226
104	376	3209
105	378	3192
106	380	3178
107	382	3161
108	384	3142
109	386	3127
110	388	3112
111	390	3098
112	393	3085
113	395	3070
114	396	3054
115	398	3039
116	400	3023
117	404	3022
118	406	3009
119	408	2992
120	411	2986
121	412	2967
122	414	2951
123	415	2936
124	417	2922
125	419	2908
126	420	2890
127	422	2878
128	424	2865
129	425	2850
130	427	2834
131	428	2819
132	430	2805
133	435	2812
134	436	2798
135	438	2787
136	440	2774
137	442	2761
138	443	2749
139	445	2736
140	446	2721
141	448	2708
142	450	2697
143	452	2689
144	454	2680
145	456	2667
146	457	2655
147	458	2642
148	460	2628
149	461	2616
150	464	2611
151	466	2601
152	467	2590
153	469	2578
154	470	2566
155	472	2555
156	473	2544
157	475	2534
158	477	2526
159	480	2521
160	481	2508
161	483	2498
162	484	2486
163	485	2475
164	487	2466
165	489	2457
166	490	2446
167	491	2435
168	493	2424
169	495	2421
170	498	2418
171	500	2411
172	502	2403
173	504	2394
174	507	2391
175	509	2385
176	511	2377
177	512	2368
178	514	2359
179	515	2349
180	517	2340
181	518	2330
182	520	2321
183	521	2313
184	523	2307
185	525	2298
186	527	2293
187	529	2284
188	530	2277
189	532	2269
190	533	2261
191	535	2252
192	536	2244
193	538	2237
194	540	2230
195	542	2224
196	544	2218
197	545	2210
198	546	2201
199	548	2192
200	549	2184
201	551	2176
202	552	2169
203	554	2163
204	555	2156
205	557	2149
206	559	2141
207	560	2133
208	561	2125
209	563	2119
210	564	2111
211	566	2103
212	567	2095
213	568	2088
214	570	2083
215	572	2077
216	573	2069
217	574	2061
218	575	2053
219	577	2046
220	578	2038
221	579	2030
222	581	2024
223	582	2017
224	583	2011
225	585	2005
226	587	1999
227	588	1992
228	589	1985
229	591	1979
230	592	1972
231	593	1965
232	595	1959
233	596	1952
234	597	1946
235	599	1940
236	601	1936
237	603	1930
238	604	1924
239	605	1918
240	607	1912
241	608	1907
242	610	1900
243	611	1895
244	613	1890
245	615	1887
246	617	1882
247	619	1878
248	620	1872
249	622	1866
250	623	1861
251	625	1857
252	627	1851
253	628	1846
254	630	1841
255	631	1835
256	633	1830
257	634	1825
258	636	1819
259	637	1814
260	638	1808
261	640	1803
262	641	1797
263	642	1792
264	644	1786
265	646	1782
266	647	1778
267	649	1773
268	651	1769
269	652	1763
270	653	1758
271	655	1753
272	656	1748
273	657	1742
274	659	1738
275	661	1735
276	663	1730
277	664	1726
278	666	1721
279	667	1716
280	668	1711
281	670	1706
282	671	1701
283	672	1696
284	674	1692
285	676	1689
286	678	1686
287	680	1682
288	681	1677
289	683	1673
290	684	1668
291	685	1663
292	687	1658
293	689	1655
294	691	1652
295	693	1648
296	694	1643
297	695	1639
298	697	1634
299	698	1629
300	699	1624
301	701	1620
302	702	1615
303	704	1611
304	705	1608
305	707	1604
306	708	1600
307	710	1595
308	711	1591
309	712	1586
310	714	1583
311	715	1578
312	717	1574
313	718	1569
314	720	1566
315	722	1563
316	723	1559
317	724	1554
318	726	1550
319	727	1546
320	729	1542
321	730	1538
322	732	1534
323	734	1531
324	735	1527
325	737	1524
326	738	1520
327	739	1515
328	741	1512
329	742	1507
330	743	1503
331	745	1499
332	746	1495
333	747	1491
334	749	1487
335	751	1484
336	752	1481
337	754	1477
338	755	1473
339	756	1469
340	758	1465
341	760	1462
342	761	1458
343	762	1455
344	764	1451
345	766	1448
346	768	1445
347	769	1442
348	772	1440
349	773	1436
350	775	1434
351	777	1430
352	778	1427
353	780	1424
354	782	1421
355	784	1418
356	786	1417
357	788	1413
358	790	1410
359	791	1407
360	792	1403
361	794	1399
362	795	1396
363	797	1394
364	799	1391
365	801	1388
366	803	1385
367	804	1381
368	806	1379
369	808	1375
370	809	1372
371	811	1369
372	813	1367
373	815	1365
374	817	1362
375	819	1359
376	820	1356
377	838	1379
378	840	1376
379	842	1374
380	844	1371
381	846	1368
382	847	1365
383	848	1361
384	850	1359
385	852	1356
386	854	1353
387	856	1350
388	857	1347
389	859	1344
390	861	1342
391	863	1339
392	864	1335
393	866	1332
394	867	1328
395	869	1325
396	871	1322
397	872	1319
398	874	1317
399	876	1314
400	878	1311
401	879	1308
402	880	1304
403	882	1301
404	883	1298
405	885	1294
406	886	1291
407	887	1288
408	890	1286
409	891	1283
410	893	1280
411	894	1276
412	896	1274
413	897	1270
414	899	1267
415	901	1265
416	902	1262
417	904	1259
418	906	1256
419	907	1253
420	908	1250
421	910	1246
422	911	1243
423	913	1240
424	915	1237
425	916	1235
426	917	1231
427	920	1230
428	922	1227
429	923	1224
430	925	1221
431	926	1218
432	928	1215
433	929	1212
434	931	1209
435	932	1206
436	934	1203
437	935	1200
438	938	1198
439	939	1195
440	940	1192
441	942	1189
442	943	1186
443	945	1183
444	946	1180
445	948	1177
446	950	1175
447	952	1173
448	954	1171
449	955	1168
450	957	1165
451	958	1162
452	959	1158
453	961	1155
454	962	1152
455	964	1150
456	966	1148
457	968	1145
458	969	1142
459	971	1140
460	973	1137
461	974	1135
462	976	1132
463	977	1129
464	979	1126
465	981	1124
466	984	1123
467	985	1120
468	986	1117
469	988	1114
470	990	1111
471	991	1109
472	992	1106
473	994	1103
474	996	1101
475	997	1098
476	999	1095
477	1001	1093
478	1003	1091
479	1004	1088
480	1006	1085
481	1007	1082
482	1009	1080
483	1010	1077
484	1012	1075
485	1015	1073
486	1016	1071
487	1018	1068
488	1019	1065
489	1020	1062
490	1021	1059
491	1023	1056
492	1024	1053
493	1026	1051
494	1028	1049
495	1029	1046
496	1030	1043
497	1032	1040
498	1033	1037
499	1034	1034
500	1035	1031
501	1037	1028
502	1038	1026
503	1040	1023
504	1042	1021
505	1044	1019
506	1045	1016
507	1046	1013
508	1048	1011
509	1049	1008
510	1050	1005
511	1052	1002
512	1053	1000
513	1054	997
514	1055	994
515	1057	991
516	1059	989
517	1060	987
518	1062	984
519	1063	981
520	1065	979
521	1067	977
522	1068	974
523	1069	971
524	1070	968
525	1072	966
526	1074	964
527	1075	961
528	1077	959
529	1078	956
530	1080	954
531	1081	951
532	1082	948
533	1083	945
534	1085	943
535	1086	940
536	1088	938
537	1090	936
538	1091	933
539	1092	931
540	1094	928
541	1095	925
542	1096	922
543	1098	920
544	1099	917
545	1101	915
546	1102	913
547	1104	910
548	1105	908
549	1107	905
550	1108	903
551	1109	900
552	1111	898
553	1112	895
554	1113	893
555	1115	890
556	1116	888
557	1118	886
558	1120	883
559	1121	881
560	1123	878
561	1124	876
562	1125	873
563	1126	870
564	1127	868
565	1129	865
566	1130	863
567	1132	861
568	1133	858
569	1135	856
570	1136	854
571	1138	851
572	1139	849
573	1141	847
574	1143	845
575	1145	842
576	1146	840
577	1148	838
578	1149	835
579	1150	833
580	1152	830
581	1153	828
582	1155	826
583	1156	823
584	1157	821
585	1159	818
586	1160	816
587	1162	814
588	1163	812
589	1165	809
590	1166	807
591	1168	805
592	1170	803
593	1171	800
594	1172	798
595	1174	796
596	1176	793
597	1177	791
598	1180	790
599	1181	787
600	1182	785
601	1184	783
602	1185	780
603	1187	778
604	1188	775
605	1189	773
606	1191	771
