iter	Passed	Remaining
0	4	461
1	8	425
2	11	381
3	14	351
4	18	345
5	21	340
6	25	339
7	28	333
8	32	329
9	36	324
10	40	325
11	43	322
12	47	317
13	51	313
14	54	307
15	57	300
16	60	293
17	63	288
18	66	284
19	70	280
20	74	278
21	77	276
22	81	273
23	85	270
24	88	266
25	92	263
26	95	258
27	98	254
28	102	250
29	105	247
30	109	244
31	113	240
32	116	235
33	119	231
34	122	228
35	125	223
36	129	220
37	132	216
38	135	212
39	139	208
40	141	204
41	142	197
42	146	193
43	148	189
44	152	185
45	155	182
46	158	178
47	161	175
48	165	171
49	168	168
50	171	164
51	175	161
52	178	158
53	182	155
54	184	151
55	187	147
56	191	144
57	194	140
58	198	137
59	201	134
60	204	130
61	207	127
62	210	123
63	214	120
64	217	117
65	220	113
66	223	110
67	226	106
68	229	103
69	232	99
70	235	96
71	238	92
72	241	89
73	244	85
74	247	82
75	250	79
76	253	75
77	256	72
78	259	68
79	263	65
80	266	62
81	269	59
82	272	55
83	275	52
84	278	49
85	281	45
86	284	42
87	287	39
88	290	35
89	293	32
90	295	29
91	298	25
92	301	22
93	304	19
94	307	16
95	310	12
96	312	9
97	315	6
98	317	3
99	320	0
